internal_error_code,error_description,reason,failure_type,source,next_best_action,step,recoverable
BAD_REQUEST_PAYMENT_NETBANKING_CANCELLED_BY_USER,Payment processing via netbanking cancelled by user by clicking cancel on bank transfer page,payment_cancelled,,customer,,payment_authentication,
BAD_REQUEST_INVALID_ACCOUNT_HOLDER_NAME,The account holder name is invalid,bank_account_validation_failed,,customer,,payment_authentication,
GATEWAY_ERROR_UNKNOWN_ERROR,Payment processing failed due to error at bank or wallet gateway,gateway_technical_error,,gateway,,payment_authorization,
BAD_REQUEST_PAYMENT_PENDING,Payment failed,payment_pending_approval,,bank,,payment_authorization,
BAD_REQUEST_PAYMENT_POSSIBLE_FRAUD,Payment declined because it didn't pass all risk checks,payment_risk_check_failed,,internal,,payment_initiation,
BAD_REQUEST_EMANDATE_AMOUNT_LIMIT_EXCEEDED,Amount exceeds E-mandate limit,transaction_limit_exceeded,,internal,,payment_initiation,
GATEWAY_ERROR_MANDATE_CREATION_FAILED,Payment processing failed due to error at bank or wallet gateway,gateway,,gateway,,payment_initiation,
GATEWAY_ERROR_CALLBACK_EMPTY_INPUT,Payment processing failed due to error at bank or wallet gateway,gateway_technical_error,,gateway,,payment_authorization,
BAD_REQUEST_PAYMENT_POSSIBLE_FRAUD_WEBSITE_MISMATCH,Payment blocked as website does not match registered website(s),payment_risk_check_failed,,internal,,payment_initiation,
BAD_REQUEST_TRANSACTION_AMOUNT_LIMIT_EXCEEDED,Payment failed because Transaction amount limit has exceeded,transaction_limit_exceeded,,customer,,payment_authorization,
GATEWAY_ERROR_AMOUNT_TAMPERED,Payment processing failed due to error at bank or wallet gateway,gateway_technical_error,,gateway,,payment_initiation,
GATEWAY_ERROR_INVALID_PARAMETERS,Payment processing failed due to error at bank or wallet gateway,gateway_technical_error,,gateway,,payment_initiation,
GATEWAY_ERROR_REQUEST_TIMEOUT,The gateway request to submit payment information timed out. Please submit your details again,payment_timed_out,,gateway,,payment_authorization,
BAD_REQUEST_PAYMENT_VERIFICATION_FAILED,Payment verification with gateway failed,payment_failed,,gateway,,payment_authorization,
SERVER_ERROR_AMOUNT_TAMPERED,The server encountered an error. The incident has been reported to admins.,server_error,,internal,,payment_initiation,
